Entry,Entry name,Protein names,Gene names,Organism,Length,Gene ontology IDs,Taxonomic lineage (PHYLUM)
P70066,RS15_XIPMA,40S ribosomal protein S15 (RIG protein),rps15 rig,Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus),145,GO:0003723; GO:0003735; GO:0006412; GO:0015935,Chordata
P13388,XMRK_XIPMA,Melanoma receptor tyrosine-protein kinase (EC 2.7.10.1),xmrk tu,Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus),1167,GO:0004714; GO:0005524; GO:0007169; GO:0016021,Chordata
P27446,FYN_XIPHE,Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene c-Fyn) (p59-Fyn),fyn,Xiphophorus helleri (Green swordtail),537,GO:0004714; GO:0004715; GO:0005524; GO:0007275; GO:0046872,Chordata
Q6NVU2,PPIG_XENTR,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16),ppp1cc TEgg061c20.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),323,GO:0000164; GO:0000777; GO:0004722; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005856; GO:0005977; GO:0006470; GO:0007084; GO:0016607; GO:0030496; GO:0032154; GO:0046872; GO:0051301; GO:0106306; GO:0106307,Chordata
B0JZG0,S23A2_XENTR,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Sodium-dependent vitamin C transporter 2),slc23a2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),649,GO:0008520; GO:0015882; GO:0016021; GO:0019852,Chordata
A9UMS3,PHB2_XENTR,Prohibitin-2,phb2 TGas064h09.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),301,GO:0000423; GO:0005634; GO:0005737; GO:0005739; GO:0005743; GO:0005886; GO:0007005; GO:0009986; GO:0016363; GO:0035632; GO:0042803,Chordata
Q5XH95,SCMC2_XENTR,Calcium-binding mitochondrial carrier protein SCaMC-2 (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25),slc25a25 scamc2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),513,GO:0005347; GO:0005509; GO:0005743; GO:0016021,Chordata
B1H1Z8,SCC4_XENTR,MAU2 chromatid cohesion factor homolog (MAU-2) (Cohesin loading complex subunit SCC4 homolog),mau2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),604,GO:0000785; GO:0005634; GO:0005654; GO:0032116; GO:0034088; GO:0051301; GO:0071921; GO:0090694,Chordata
Q08CX1,RASEF_XENTR,Ras and EF-hand domain-containing protein,rasef,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),722,GO:0003924; GO:0005509; GO:0005525; GO:0048471,Chordata
Q28E01,S20A2_XENTR,Sodium-dependent phosphate transporter 2 (Solute carrier family 20 member 2),slc20a2 TEgg117l18.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),653,GO:0005315; GO:0005887; GO:0006814; GO:0015293; GO:0035435,Chordata
Q6DIN3,MBTD1_XENTR,MBT domain-containing protein 1,mbtd1 TTpA012c17.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),651,GO:0003682; GO:0005634; GO:0006325; GO:0008270; GO:0035064; GO:0042393; GO:0045892,Chordata
Q0D2A9,KLH25_XENTR,Kelch-like protein 25 (Ectoderm-neural cortex protein 2) (ENC-2),klhl25 enc2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),589,GO:0005737; GO:0006446; GO:0006511; GO:0016567; GO:0031463,Chordata
Q6NVP7,PABP2_XENTR,Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1),pabpn1 TGas130l12.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),296,GO:0000165; GO:0003723; GO:0005634; GO:0005737; GO:0006378; GO:0008143; GO:0042405; GO:0070063; GO:0071222; GO:1904247; GO:1990904,Chordata
Q0VFL7,RALYL_XENTR,RNA-binding Raly-like protein,ralyl,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),291,GO:0003723; GO:0005634,Chordata
Q08CW1,TLK2_XENTR,Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (Tousled-like kinase 2),tlk2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),697,GO:0001672; GO:0004674; GO:0005524; GO:0005634; GO:0007059; GO:0018105; GO:0035556; GO:0106310; GO:0106311,Chordata
Q6P8D9,UBC12_XENTR,NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M),ube2m ubc12,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),183,GO:0004842; GO:0005524; GO:0005634; GO:0006464; GO:0019788; GO:0045116,Chordata
A4IIX9,WDR37_XENTR,WD repeat-containing protein 37,wdr37,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),494,GO:0005634; GO:0005737; GO:0030687,Chordata
Q6GL41,MCM4_XENTR,DNA replication licensing factor mcm4 (EC 3.6.4.12) (Minichromosome maintenance protein 4),mcm4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),863,GO:0000727; GO:0000785; GO:0003678; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0006267; GO:0006268; GO:0006271; GO:0016787; GO:0030174; GO:0042555; GO:0046872; GO:0071162; GO:1902975,Chordata
