Entry,Entry name,Protein names,Gene names,Organism,Length,Gene ontology IDs,Taxonomic lineage (PHYLUM)
A0A671WZ42,A0A671WZ42_SPAAU,SCY1 like pseudokinase 1,SCYL1,Sparus aurata (Gilthead sea bream),866,GO:0004672; GO:0005524,Chordata
A0A3B4UEF2,A0A3B4UEF2_SERDU,Glycerol-3-phosphate dehydrogenase; mitochondrial,,Seriola dumerili (Greater amberjack) (Caranx dumerili),866,GO:0005509; GO:0005739; GO:0006072; GO:0009331; GO:0052591,Chordata
A0A671VCG8,A0A671VCG8_SPAAU,Nectin-1-like,LOC115593643,Sparus aurata (Gilthead sea bream),498,GO:0005886; GO:0016021,Chordata
A0A671Z347,A0A671Z347_SPAAU,Protein misato homolog 1,msto1,Sparus aurata (Gilthead sea bream),590,GO:0005741,Chordata
A0A5E9SHH1,A0A5E9SHH1_ECOLX,O-antigen ligase domain-containing protein,E2129_20565,Escherichia coli,320,GO:0016021; GO:0016874,Proteobacteria
A0A671VTT3,A0A671VTT3_SPAAU,E3 ubiquitin-protein ligase TRIM39-like,LOC115589113,Sparus aurata (Gilthead sea bream),546,GO:0008270,Chordata
V2QQS0,V2QQS0_ECOLX,Deleted.,,,,,
A0A671TPU1,A0A671TPU1_SPAAU,Zeta-sarcoglycan-like,SGCZ,Sparus aurata (Gilthead sea bream),312,GO:0005856; GO:0016012; GO:0016021; GO:0042383,Chordata
F1KYB3,F1KYB3_ASCSU,Heat shock 70 kDa protein F,,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),669,GO:0005524; GO:0006457; GO:0016887; GO:0051082,Nematoda (roundworms)
F1KZH0,F1KZH0_ASCSU,FSH1 domain-containing protein,,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),233,,Nematoda (roundworms)
A0A4U5U6S8,A0A4U5U6S8_COLLU,Integrase catalytic domain-containing protein,D9C73_003405,Collichthys lucidus (Big head croaker) (Sciaena lucida),653,GO:0003676; GO:0015074,Chordata
A0A671UIS3,A0A671UIS3_SPAAU,IQ motif and ubiquitin domain containing,,Sparus aurata (Gilthead sea bream),810,,Chordata
A0A671TRJ9,A0A671TRJ9_SPAAU,Tensin 4,TNS4,Sparus aurata (Gilthead sea bream),591,GO:0030054,Chordata
A0A2E7NZ06,A0A2E7NZ06_9BURK,Protein-serine/threonine phosphatase,CME87_04355,Herbaspirillum sp.,427,GO:0016791,Proteobacteria
A0A671UQR1,A0A671UQR1_SPAAU,Chromosome 5 C5orf34 homolog,c5h5orf34,Sparus aurata (Gilthead sea bream),543,,Chordata
A0A671Z1L2,A0A671Z1L2_SPAAU,Tyrosine-protein kinase (EC 2.7.10.2),LOC115585180,Sparus aurata (Gilthead sea bream),508,GO:0004714; GO:0004715; GO:0005524,Chordata
A0A671YLK6,A0A671YLK6_SPAAU,Cytokine receptor like factor 1,crlf1,Sparus aurata (Gilthead sea bream),393,,Chordata
A0A5R8PNI2,A0A5R8PNI2_CUTAC,Helix-turn-helix domain containing protein,FD514_11950,Cutibacterium acnes (Propionibacterium acnes),264,,Actinobacteria
A0A671VD80,A0A671VD80_SPAAU,Fibrillin-2-like,LOC115591592,Sparus aurata (Gilthead sea bream),817,GO:0005509,Chordata
A0A671VW44,A0A671VW44_SPAAU,DEAD/H-box helicase 11,ddx11,Sparus aurata (Gilthead sea bream),896,GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006139; GO:0016818,Chordata
A0A671V2V4,A0A671V2V4_SPAAU,Leucine rich repeat containing 45,lrrc45,Sparus aurata (Gilthead sea bream),674,,Chordata
A0A671V5J8,A0A671V5J8_SPAAU,Leucine rich repeat containing 45,lrrc45,Sparus aurata (Gilthead sea bream),669,,Chordata
V0VKN0,V0VKN0_ECOLX,UPF0266 membrane protein YobD,yobD HMPREF1604_01489,Escherichia coli 908519,152,GO:0005886; GO:0016021,Proteobacteria
A0A7J5XWH1,A0A7J5XWH1_DISMA,DUF4371 domain-containing protein,F7725_007332,Dissostichus mawsoni (Antarctic cod),424,,Chordata
A0A671VCH0,A0A671VCH0_SPAAU,Growth regulating estrogen receptor binding 1,greb1,Sparus aurata (Gilthead sea bream),1989,GO:0016021,Chordata
D6HWY7,D6HWY7_ECOLX,Formate dehydrogenase,ECCG_00024,Escherichia coli B088,231,GO:0005886; GO:0008863; GO:0009055; GO:0009326; GO:0016021; GO:0022904,Proteobacteria
A0A671WVB8,A0A671WVB8_SPAAU,Autophagy-related protein 9,LOC115578168,Sparus aurata (Gilthead sea bream),857,GO:0000421; GO:0005794; GO:0006914; GO:0015031; GO:0016021; GO:0030659,Chordata
A0A671YXU0,A0A671YXU0_SPAAU,Histone-lysine N-methyltransferase EHMT1-like,LOC115582123,Sparus aurata (Gilthead sea bream),1019,GO:0002039; GO:0005634; GO:0008270; GO:0018024,Chordata
A0A4E9F6D0,A0A4E9F6D0_BRUMA,Protein kinase domain-containing protein,Bma-kin-19 BM_BM1931,Brugia malayi (Filarial nematode worm),285,GO:0004672; GO:0005524,Nematoda (roundworms)
